node,lat,lon,score
13081249121,41.8782462,-87.6306543,0.7969999999999993
13081249123,41.878082,-87.6306524,0.7979999999999994
13081249125,41.8780789,-87.6309069,0.7979999999999994
13081249126,41.8754562,-87.6297672,0.841
13081249127,41.8754582,-87.629648,0.8054999999999995
13081265023,41.8769376,-87.6328022,0.8354999999999998
13081341433,41.8770511,-87.6262215,0.8084999999999993
13081341435,41.8769048,-87.6262107,0.8089999999999994
13081342055,41.8758183,-87.6261884,0.8369999999999994
13081342057,41.8755763,-87.6261822,0.8449999999999995
13137139800,41.8768347,-87.6285792,0.7974999999999995
13137165001,41.8768282,-87.6285797,0.7974999999999995
